"Asset_ID","Canonical_Name","Alias","Operator","Company Type","Status","Total Space (sqft)","Colocation Space (sqft)","Power Capacity (MW)","Acre","street_address","city","state","postal_code","latitude","longitude","estimated_mw","Modified","Created"
"DC-13361","Project Dazzler","Project Dazzler","Google","[""Hyperscale""]","[""Planned""]","500,000",,,,"3767-3217 Gallia Pike","Franklin Furnace","OH","45629","38.6107603607896","-82.8419051457168","30.6","5/15/2026 4:47 PM","5/15/2026 4:47 PM"
"DC-13360","Nebius: Birmingham","Nebius: Birmingham","Nebius","[""Carrier Neutral/Real Estate""]","[""Under Construction""]",,,"300",,"2654-2652 Co Rd 93","Bessemer","AL","35022","33.4289726909199","-86.8852982526182","300.0","5/15/2026 4:33 PM","5/15/2026 4:33 PM"
"DC-13359","Project Laurel","Project Laurel","MCD 7 LLC","[""Carrier Neutral/Real Estate""]","[""Planned""]","3,000,000",,"750",,"3115 Sanatoga Rd","Pottstown","PA","19464","40.2326062711719","-75.5846285990692","750.0","5/15/2026 4:23 PM","5/15/2026 4:23 PM"
"DC-13358","Green Data: Socorro","Green Data: Socorro","Socorro","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"2,000","10,000",,"Socorro","NM","87801","34.0511058099183","-106.990373627885","2,000.0","5/15/2026 3:08 PM","5/15/2026 3:08 PM"
"DC-13357","Delta Forge","Delta Forge","Applied Digital","[""Carrier Neutral/Real Estate""]","[""Under Construction""]",,,"430","500","5746 Hwy 121","Boyce","LA","71409","31.371873554649","-92.7026282973764","430.0","5/15/2026 3:03 PM","5/15/2026 3:03 PM"
"DC-13356","Annville Campus","Annville Campus","Inch & Co","[""Carrier Neutral/Real Estate""]","[""Withdrawn/In Doubt""]","640,000",,,"100",,"South Annville Township","PA","17003","40.3239339867393","-76.5268137341206","83.1","5/15/2026 2:56 PM","5/15/2026 2:56 PM"
"DC-13355","O'Leary Ventures - Stratos","O'Leary Ventures - Stratos","O'Leary Ventures","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"9,000","40,000","21135 N Hansel Valley Rd","Howell","UT","84316","41.8901559983165","-112.577146608428","9,000.0","5/15/2026 2:52 PM","5/15/2026 2:52 PM"
"DC-13354","AWS - Hobart","AWS - Hobart","AWS","[""Hyperscale""]","[""Planned""]",,,"2,400","168",,"Hobart","IN","46342","41.5068810202509","-87.2961627196888","2,400.0","4/28/2026 11:37 AM","4/28/2026 11:37 AM"
"DC-13353","Project Calvano","Project Calvano","Google","[""Hyperscale""]","[""Planned""]","2,300,000",,,,"Kiel Ln","Wichita Falls","TX","76305","33.958817494753","-98.5677463816197","140.8","4/17/2026 6:53 PM","4/17/2026 6:53 PM"
"DC-13352","Lower Mount Bethel DC","Lower Mount Bethel DC","J.G. Petrucci Company","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"1,200",,"Gravel Hill Rd & Martins Creek Belvidere Hwy","Lower Mount Bethel Township","PA","18013","40.8202386277599","-75.0997182044168","1,200.0","4/17/2026 6:45 PM","4/17/2026 6:45 PM"
"DC-13351","Project Arrowhead","Project Arrowhead","Premier Data Center Development","[""Carrier Neutral/Real Estate""]","[""Planned""]","4,220,000",,"1,200","1,000",,"Ocilla","GA","31774","31.601584487468","-83.3634870109993","1,200.0","4/17/2026 6:39 PM","4/17/2026 6:39 PM"
"DC-13350","Karis Critical","Karis Critical","Karis Critical","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"115","4500 Beech Road NW","Johnstown","OH","43031","40.121284760327","-82.7516477909445","196.7","4/17/2026 6:34 PM","4/17/2026 6:34 PM"
"DC-13349","Microsoft Buffalo Business Park","Microsoft Buffalo Business Park","Microsoft","[""Hyperscale""]","[""Operational""]",,,,"3,200","Wapiti Trail","Cheyenne","WY","82007","41.060580024851","-104.786106712583","5,472.0","4/17/2026 6:26 PM","4/17/2026 6:26 PM"
"DC-13348","Wellington Rd and Devlin Rd","Wellington Rd and Devlin Rd","AWS","[""Hyperscale""]","[""Land Bank""]",,,,"44","6898 Wellington Rd","Manassas","VA","20109","38.7798936019825","-77.5613765167836","75.2","4/14/2026 3:49 PM","4/14/2026 3:49 PM"
"DC-13347","Virginia Technology Park","Virginia Technology Park","Equus Capital Partners","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"220.06","Ruebuck Ln and Rest Church Rd","Clear Brook","VA","22624","39.292059123322","-78.0966360101616","376.3","4/14/2026 3:46 PM","4/14/2026 3:46 PM"
"DC-13346","Norcross 2","Norcross 2","Flexential","[""Carrier Neutral/Real Estate""]","[""Planned""]","48,000",,"4.5",,"2755 Northwoods Pkwy","Norcross","GA","30071","33.9546457579714","-84.1990816187944","4.5","4/14/2026 3:33 PM","4/14/2026 3:33 PM"
"DC-13345","Gullick Mill Rd Development","Gullick Mill Rd Development","Unknown Operator","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"87","Gullick Mill Rd","Leesburg","VA","20175","39.0408198763978","-77.5568724585179","148.8","4/14/2026 3:27 PM","4/14/2026 3:27 PM"
"DC-13344","Project Baccara","Project Baccara","Takanock, LLC","[""Carrier Neutral/Real Estate""]","[""Under Construction""]",,,"700","160",,"Waddell","AZ","85355","33.5661120077208","-112.374487877835","700.0","4/14/2026 1:45 PM","4/14/2026 1:45 PM"
"DC-13343","Heartland Industrial Park","Heartland Industrial Park","Potentia Inc.","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"1,000",,"Sullivan","IN","47882","39.0563976097492","-87.5007092650275","1,710.0","4/12/2026 10:34 PM","4/12/2026 10:34 PM"
"DC-13342","J5 LLC","J5 LLC","Meta","[""Hyperscale""]","[""Planned""]","700,000",,,"607",,"Washington Township","OH","45356","40.1077204107577","-84.2384664471255","374.6","4/12/2026 10:17 PM","4/12/2026 10:17 PM"
"DC-13341","Nexus Data Centers - Hubbard","Nexus Data Centers - Hubbard","Nexus Data Centers","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"600","2,000",,"Hubbard","TX","76648","31.8300538834515","-96.7796861252053","600.0","4/12/2026 10:03 PM","4/12/2026 10:03 PM"
"DC-13340","Prologis: Shelbyville","Prologis: Shelbyville","Prologis","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"576",,"Shelbyville","IN","46176","39.5288314483173","-85.7290940116217","985.0","4/12/2026 9:40 PM","4/12/2026 9:40 PM"
"DC-13339","Project BOSC","Project BOSC","Google","[""Hyperscale""]","[""Planned""]",,,,"170",,"Lima","OH","45807","40.7806039932887","-84.1280050167846","290.7","4/12/2026 9:33 PM","4/12/2026 9:33 PM"
"DC-13338","DC Blox - Indianapolis","DC Blox - Indianapolis","DC Blox","[""Carrier Neutral/Real Estate""]","[""Planned""]","410,000",,,,"305 Fintail Dr","Indianapolis","IN","46219","39.7672780144075","-86.0516025236446","25.1","4/12/2026 9:26 PM","4/12/2026 9:25 PM"
"DC-13337","CyrusOne - Sangamon","CyrusOne - Sangamon","CyrusOne","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"634","280",,"Talkington Township","IL","62692","39.545427638609","-89.8829606359517","634.0","4/12/2026 8:07 PM","4/12/2026 8:07 PM"
"DC-13336","QTS - Fayetteville","QTS - Fayetteville","QTS","[""Carrier Neutral/Real Estate""]","[""Under Construction""]","2,000,000",,"1,400",,"1435 Hwy 54 W","Fayetteville","GA","30214","33.4492265813876","-84.5223542619723","1,400.0","4/12/2026 7:59 PM","4/12/2026 7:59 PM"
"DC-13335","Monarch Energy Campus - Rockford","Monarch Energy Campus - Rockford","Monarch Energy","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"1,100",,"Davis Junction","IL","61020","42.1540849411898","-89.0782271406078","1,881.0","4/12/2026 7:52 PM","4/12/2026 7:52 PM"
"DC-13334","CRG Clayco","CRG Clayco","CRG Clayco","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"240",,"Festus","MO","63028","38.1918585636607","-90.4222004031275","410.4","4/3/2026 6:15 PM","4/3/2026 6:15 PM"
"DC-13333","Project Maize","Project Maize","Phoenix Investors","[""Carrier Neutral/Real Estate""]","[""Under Construction""]","400,000",,,,"402 Royal Rd","Michigan City","IN","46360","41.7135698932744","-86.8427885743416","24.5","4/3/2026 6:01 PM","4/3/2026 6:01 PM"
"DC-13332","Google - Putnam County","Google - Putnam County","Google","[""Hyperscale""]","[""Planned""]",,,,"1,700","22272 Charleston Rd","Buffalo","WV","25033","38.6443081627433","-81.9564843456234","2,907.0","3/27/2026 1:09 PM","3/27/2026 1:09 PM"
"DC-13331","Outrigger Industrial","Outrigger Industrial","Outrigger Industrial","[""Carrier Neutral/Real Estate""]","[""Withdrawn/In Doubt""]",,,"500","120",,"Washington","IN","47501","38.6512614692187","-87.1190964655448","500.0","5/15/2026 4:25 PM","3/27/2026 1:00 PM"
"DC-13330","Western Newspaper Union Building","Western Newspaper Union Building","Revitalization Unlimited","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"30",,"304 W 10th","Kansas City","MO","54105","39.1027096139661","-94.5871929488892","30.0","3/25/2026 6:30 PM","3/25/2026 6:30 PM"
"DC-13329","Gray Summit Data Center","Gray Summit Data Center","Provident Data Centers","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"613","Robertsville Rd","Villa Ridge","MO","63089","38.479651122769","-90.8299358560327","1,048.2","3/25/2026 6:25 PM","3/25/2026 6:25 PM"
"DC-13328","SB Energy / New Day","SB Energy / New Day","SoftBank","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"9.2",,,"Piketon","OH",,"39.0164505355189","-83.0011724366759","9.2","3/20/2026 4:02 PM","3/20/2026 4:02 PM"
"DC-13327","Taylor Meadows","Taylor Meadows","Iron Mountatin","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"500",,"Hutto","TX","78634","30.4838567328368","-97.465481953017","855.0","3/19/2026 1:50 PM","3/19/2026 1:50 PM"
"DC-13326","Project Azalea","Project Azalea","Project Turbo LLC","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"400","200","Randall Hunt Rd & Old Whiteoak Rd","Dearing","GA","30808","33.4449613502223","-82.3860450981647","400.0","3/19/2026 1:41 PM","3/19/2026 1:41 PM"
"DC-13325","Blackstone QTS - Salem Township","Blackstone QTS - Salem Township","QTS","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"1,700",,"Delmont","PA","15626","40.3958053032435","-79.5837820629319","2,907.0","3/19/2026 1:35 PM","3/19/2026 1:35 PM"
"DC-13324","Buck Canyon","Buck Canyon","Unknown Operator","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"1,300","1,016","745 US-52","Aberdeen","OH","45101","38.6415273154997","-83.6912736368328","1,300.0","3/13/2026 1:05 PM","3/13/2026 1:05 PM"
"DC-13323","PowerHouse - Joliet","PowerHouse - Joliet","PowerHouse","[""Carrier Neutral/Real Estate""]","[""Planned""]","3,468,000",,"1,800","795",,"Joliet","IL","60421","41.4631240094149","-88.1486837314264","1,800.0","3/13/2026 12:58 PM","3/13/2026 12:58 PM"
"DC-13322","Project Cardinal","Project Cardinal","Pioneer Development","[""Carrier Neutral/Real Estate""]","[""Planned""]","17,000,000",,"1,800","1,000","Route 47 and Galena Rd","Yorkville","IL","60512","41.7205034310272","-88.4671986392292","1,800.0","3/13/2026 12:27 PM","3/13/2026 12:27 PM"
"DC-13321","LightHouse","LightHouse","LightHouse Data Centers","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,"220","151","300 Jones Rd","Spartanburg","SC","29307","35.0157554629041","-81.8847889659804","220.0","3/6/2026 12:52 PM","3/6/2026 12:52 PM"
"DC-13320","Sabey - Indianapolis","Sabey - Indianapolis","Sabey","[""Carrier Neutral/Real Estate""]","[""Planned""]","900,000",,"250",,,"Camby","IN","46113","39.6617783275828","-86.3092834025047","250.0","3/6/2026 12:39 PM","3/6/2026 12:39 PM"
"DC-13319","Edged Energy - Ft Worth","Edged Energy - Ft Worth","Edged Energy","[""Carrier Neutral/Real Estate""]","[""Under Construction""]",,,,"168",,"Fort Worth","TX","76126","32.6848223028471","-97.4973312038002","287.3","3/6/2026 12:36 PM","3/6/2026 12:36 PM"
"DC-13318","GWU Virginia Science & Technology Campus","GWU Virginia Science & Technology Campus","Amazon","[""Hyperscale""]","[""Planned""]",,,,"120","45085 University Dr","Ashburn","VA","20147","39.0581484921878","-77.4433945032779","205.2","3/3/2026 1:08 PM","3/3/2026 1:08 PM"
"DC-13317","Aligned - Abernathy","Aligned - Abernathy","Aligned Data Centers","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"168",,,"Abernathy","TX","79311","33.8752564488279","-101.856051246717","168.0","3/2/2026 8:37 PM","3/2/2026 8:37 PM"
"DC-13316","Bedington Campus","Bedington Campus","Penzance Management","[""Carrier Neutral/Real Estate""]","[""Land Bank""]","1,900,000",,"600","548",,"Bedington","WV",,"39.5506921974724","-77.8954091892289","600.0","2/27/2026 4:29 PM","2/27/2026 4:29 PM"
"DC-13315","Project West","Project West","Unknown","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"282",,"Norwalk","IA","50211","41.4595172734954","-93.6843109542346","482.2","2/27/2026 4:22 PM","2/27/2026 4:22 PM"
"DC-13314","Metrobloks - Liberty","Metrobloks - Liberty","Metrobloks","[""Carrier Neutral/Real Estate""]","[""Planned""]","177,000",,,"29","2525 Old Hughes Rd","Liberty","MO","64068","39.206441699755","-94.4564922176238","23.8","2/26/2026 2:18 PM","2/26/2026 2:18 PM"
"DC-13313"," Sanford Woods Industrial and Technical Campus"," Sanford Woods Industrial and Technical Campus","Unknown","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"1,000",,"Sanford","ME","04073","43.4294287427624","-70.700805127551","1,710.0","2/26/2026 2:09 PM","2/26/2026 2:09 PM"
"DC-13312","Microsoft - Roxboro","Microsoft - Roxboro","Microsoft","[""Hyperscale""]","[""Planned""]",,,,"1,350",,,"NC",,"36.476277833525","-78.9915694253798","2,308.5","2/26/2026 10:38 AM","2/26/2026 10:38 AM"
"DC-13311","Microsoft - Heath","Microsoft - Heath","Microsoft","[""Hyperscale""]","[""Under Construction""]",,,,"227",,"Heath","OH","43056","40.0284239539759","-82.4807596472764","388.2","2/26/2026 10:30 AM","2/26/2026 10:30 AM"
"DC-13310","Urbana Technology Hub","Urbana Technology Hub","Thor Equities","[""Carrier Neutral/Real Estate""]","[""Planned""]","460,000",,,"47.6",,"Urbana","OH","43078","40.0267100703906","-83.8066087908813","45.9","2/24/2026 11:50 AM","2/24/2026 11:50 AM"
"DC-13309","AWS - Shreveport Area","AWS - Shreveport Area","Amazon","[""Hyperscale""]","[""Planned""]",,,,,,,"LA",,"32.515187266901","-93.7389845097394","1.0","2/24/2026 11:16 AM","2/24/2026 11:16 AM"
"DC-13308","Meta - Davenport","Meta - Davenport","Meta","[""Hyperscale""]","[""Land Bank""]","715,000",,,"328",,"Davenport","IA","52806","41.6231262367273","-90.6283807083722","216.1","2/23/2026 6:45 PM","2/23/2026 6:45 PM"
"DC-13307","Microsoft Azure: Hebron, OH","Microsoft Azure: Hebron, OH","Microsoft","[""Hyperscale""]","[""Under Construction""]",,,,"200",,"Hebron","OH","43025","39.9705957950924","-82.5014528810346","342.0","2/26/2026 10:31 AM","2/22/2026 8:00 PM"
"DC-13306","Sailfish: Comanche Circle","Sailfish: Comanche Cirle","Sailfish","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"3,200","2,600",,"Tolar","TX","76476","32.3345893504017","-97.8643471509227","3,200.0","2/22/2026 7:52 PM","2/22/2026 7:52 PM"
"DC-13305","Cloverleaf: Greenleaf AI DC","Cloverleaf: Greenleaf AI DC","Cloverleaf","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"500",,"Wrightstown","WI","54126","44.3330385910299","-88.1008118987921","855.0","2/22/2026 7:18 PM","2/22/2026 7:18 PM"
"DC-13304","Beale: Project Mustang","Beale: Project Mustang","Beale Infrastructure","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,"300",,"Claremore","OK",,"36.3461768191249","-95.604503199362","513.0","2/20/2026 3:01 PM","2/20/2026 3:01 PM"
"DC-13303","Power Campus","Power Campus","Skybox Data Centers","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"225",,"Wichita Falls","TX",,"33.8805950707327","-98.4200853180644","384.8","2/19/2026 2:17 PM","2/19/2026 2:17 PM"
"DC-13302","Sonny Montgomery Industrial Park","Sonny Montgomery Industrial Park","Echelon Data Centres","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"500","300",,"Meridian","MS","39301","32.3738928110606","-88.6788304820309","500.0","2/17/2026 2:04 PM","2/17/2026 2:04 PM"
"DC-13301","Key Brothers Industrial Park","Key Brothers Industrial Park","Compass Data Centers","[""Carrier Neutral/Real Estate""]","[""Under Construction""]","2,000,000",,"320",,"303 W Malone Ranch Rd","Meridian","MS","39301","32.3918308082174","-88.6195713287576","320.0","2/17/2026 2:02 PM","2/17/2026 2:02 PM"
"DC-13300","The Crossings","The Crossings","Link Logistics","[""Carrier Neutral/Real Estate""]","[""Planned""]","1,560,000",,,"231",,"Union City","GA",,"33.5953047963534","-84.5478735308097","195.3","2/17/2026 1:34 PM","2/17/2026 1:34 PM"
"DC-13299","Hampton Technology Park Owner, LLC","Hampton Technology Park Owner, LLC","Hampton Technology Park Owner, LLC","[""Carrier Neutral/Real Estate""]","[""Planned""]","4,000,000",,,"603",,,,,"33.3758341377017","-84.3317532000571","507.0","2/17/2026 1:15 PM","2/17/2026 1:15 PM"
"DC-13298","Alcove Development - Osawatomie","Alcove Development - Osawatomie","Alcove Development","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,"150","115",,"Osawatomie","KS","66064","38.5138905072583","-94.9436532532111","150.0","2/17/2026 12:45 PM","2/17/2026 12:45 PM"
"DC-13297","Goldsboro - QTS?","Goldsboro - QTS?","QTS","[""Carrier Neutral/Real Estate""]","[""Land Bank""]",,,,,,"Goldsboro","PA",,"40.1501016541255","-76.7475605198635","1.0","2/12/2026 6:58 PM","2/12/2026 6:58 PM"
"DC-13296","CyrusOne - Calpine","CyrusOne - Calpine","CyrusOne","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"380",,"1366 FM488","Fairfield","TX","75840","31.9130014325263","-96.1269040179182","380.0","2/10/2026 2:10 PM","2/10/2026 2:10 PM"
"DC-13295","Black Pearl - Cipher Mining","Black Pearl - Cipher Mining","Cipher Mining","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"300",,"11786 Co Rd 209","Wink","TX","79789","31.711335476618","-103.066510834796","300.0","2/10/2026 1:48 PM","2/10/2026 1:48 PM"
"DC-13294","Project Blue","Project Blue","Beale Infrastructure","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"750","600","Pinal Air Park Rd","Marana","AZ","85653","32.5059720884914","-111.285303033744","750.0","2/10/2026 12:59 PM","2/10/2026 12:59 PM"
"DC-13293","Google - Palo","Google - Palo","Google","[""Hyperscale""]","[""Planned""]",,,"600",,"3277 DAEC Rd","Palo","IA",,"42.1012607990276","-91.77799708149","600.0","2/10/2026 12:32 PM","2/10/2026 12:32 PM"
"DC-13292","Project Lufkin","Project Lufkin","Amp Z","[""Carrier Neutral/Real Estate""]","[""Under Construction""]",,,"2,100","1,000",,"Lufkin","TX",,"31.3565425411852","-94.6765443023877","2,100.0","2/9/2026 9:53 PM","2/9/2026 9:50 PM"
"DC-13291","Project Raspberry","Project Raspberry","Google","[""Hyperscale""]","[""Land Bank""]","921,000",,,"312",,"Daleville","VA","24083","37.4344185454867","-79.9064143889328","215.4","2/9/2026 9:00 PM","2/9/2026 9:00 PM"
"DC-13290","TeraWulf - Morgantown Generating Station","TeraWulf - Morgantown Generating Station","TeraWulf","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"500","250","12620 Crain Hwy","Newburg","MD","20664","38.3657116960047","-76.9691881333831","500.0","2/9/2026 8:10 PM","2/9/2026 8:10 PM"
"DC-13289","QumulusAI - Denton Modular","QumulusAI - Denton Modular","QumulusAI","[""Carrier Neutral/Real Estate""]","[""Under Construction""]",,,"20",,,"Denton","TX",,"33.2092479856267","-97.1792009436613","20.0","2/8/2026 9:41 PM","2/8/2026 9:41 PM"
"DC-13288","TeraWulf - Hawesville","TeraWulf - Hawesville","TeraWulf","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"480","250","1627 Ste Rte 3543","Hawesville","KY","42348","37.9413553572475","-86.7884241917819","480.0","2/8/2026 9:04 PM","2/8/2026 9:04 PM"
"DC-13287","Microsoft - Dorr Township","Microsoft - Dorr Township","Microsoft","[""Hyperscale""]","[""Planned""]",,,,"250","144th Ave and US-131","Dorr Township","MI",,"42.7249084934456","-85.6704661296793","427.5","2/8/2026 8:32 PM","2/8/2026 8:32 PM"
"DC-13286","North Coventry DC","North Coventry DC","Unknown","[""Carrier Neutral/Real Estate""]","[""Planned""]","120,000",,,"17","299 W Schuylkill Rd","Pottstown","PA","19465","40.2353818477283","-75.6585965644642","14.6","2/8/2026 7:14 PM","2/8/2026 7:14 PM"
"DC-13285","Stonebridge - Fort Meade","Stonebridge - Fort Meade","Bohler Places LLC","[""Carrier Neutral/Real Estate""]","[""Planned""]","4,400,000",,,"1,330",,"Fort Meade","FL",,"27.7825877347447","-81.8229454519494","937.7","2/17/2026 1:18 PM","2/8/2026 6:59 PM"
"DC-13284","Summit Ridge - DCPC","Summit Ridge - DCPC","DCPC","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"100",,,"Santaquin","UT",,"39.9472541370492","-111.803730090428","100.0","2/10/2026 12:17 PM","2/8/2026 5:43 PM"
"DC-13283","Energy Storage Solutions LLC - Dunn Rd","Energy Storage Solutions LLC - Dunn Rd","Energy Storage Solutions LLC","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"300","50","Dunn Rd","Fayetteville","NC","28312","35.0790896821522","-78.7972141610909","300.0","2/8/2026 3:39 PM","2/8/2026 3:39 PM"
"DC-13282","Terra Nexus Ventures - Custer Ave","Terra Nexus Ventures - Custer Ave","Terra Nexus Ventures","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"200","180","Custer Ave","Fayetteville","NC","28312","35.1017828499771","-78.8300055752022","200.0","2/8/2026 3:36 PM","2/8/2026 3:36 PM"
"DC-13281","GlobalAI - Carestream Site","GlobalAI - Carestream Site","GlobalAI","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,,"438","2000 Howard Smith Ave W","Windsor","CO","80550","40.4590353599798","-104.872220637709","749.0","2/8/2026 3:24 PM","2/8/2026 3:24 PM"
"DC-13280","Meramec Valley Technology Park","Meramec Valley Technology Park","Beltline Energy","[""Carrier Neutral/Real Estate""]","[""Withdrawn/In Doubt""]",,,,"500",,"Pacific","MO",,"38.4534144028167","-90.7305369823987","855.0","2/26/2026 2:04 PM","2/8/2026 3:08 PM"
"DC-13279","TigerDC - Spartanburg","TigerDC - Spartanburg","TigerDC","[""Carrier Neutral/Real Estate""]","[""Planned""]",,,"400",,"389 Tyger River Industrial Dr","Spartanburg","SC","29369","34.8574247503902","-82.0094799871938","400.0","2/10/2026 4:03 PM","2/8/2026 2:49 PM"
"DC-13278","Atlas Development - Temple","Atlas Development - Temple","Atlas","[""Carrier Neutral/Real Estate""]","[""Withdrawn/In Doubt""]",,,,"350","539 Center Point Rd","Temple","GA","30179","33.7071891867873","-85.0649982071464","598.5","2/13/2026 5:10 PM","2/8/2026 2:31 PM"
"DC-13277","Alerify Harrisburg","Alerify Harrisburg","Alerify","[""Carrier Neutral/Real Estate""]","[""Operational""]","68,830","0","0","0","2330 Vartan Way","Harrisburg","PA","17110","40.31763938","-76.85483683","4.2","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13276","East Manchester Land Consideration","East Manchester Land Consideration","Unknown Operator","[""Carrier Neutral/Real Estate""]","[""Land Bank""]","0","0","0","300","452 Gravel Hill Rd","Mt. Wolf","PA","17347","40.06336294","-76.68662758","513.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13275","Conewago Land Considerations","Conewago Land Considerations","Unknown Operator","[""Carrier Neutral/Real Estate""]","[""Land Bank""]","0","0","0","0","4184 State Route 4001","Dover","PA","17315","40.02478354","-76.82606091","1.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13274","Conewago Land Considerations - Rexroth Farms","Conewago Land Considerations - Rexroth Farms","Unknown Operator","[""Carrier Neutral/Real Estate""]","[""Land Bank""]","0","0","0","541","579 Bowers Ridge Rd","Manchester","PA","17345","40.09703714","-76.73122476","925.1","4/14/2026 1:54 PM","2/7/2026 7:26 PM"
"DC-13273","Three-Mile Island","Three-Mile Island","Microsoft","[""Hyperscale""]","[""Land Bank""]","0","0","835","0","Constitution Dr","Middletown","PA","17057","40.15405882","-76.72402164","835.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13272","Prometheus WY-1","Prometheus WY-1","Prometheus Hyperscale",,"[""Under Construction""]","757,000","0","1,200","0","8936 County Road 180","Evanston","WY","82930","41.28640374","-110.7481318","1,200.0","2/17/2026 2:08 PM","2/7/2026 7:26 PM"
"DC-13271","Portland PDX11 Data Center","Portland PDX11 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","0","300,800","54","0","6675 NE 62nd Ave","Hillsboro","OR","97124","45.56841325","-122.916571","54.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13270","Kansas City Campus","Kansas City Campus","Nebius","[""Carrier Neutral/Real Estate""]","[""Planned""]","2,500,000","0","800","0","MO-78 and Little Blue Pkwy","Independence","MO","64056","39.09386186","-94.31663542","800.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13269","Energy Ranch","Energy Ranch","HC Capital Partners",,"[""Land Bank""]","0","0","0","1,500",,"Atascosa County","TX",,"28.89945626","-98.5395641","2,565.0","2/18/2026 5:27 PM","2/7/2026 7:26 PM"
"DC-13268","Microsoft data center: SAT82","Microsoft data center: SAT82","Microsoft","[""Hyperscale""]","[""Planned""]","195,670","0","0","0","2580 FM471","Castroville","TX","78009","29.40201251","-98.88961179","12.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13267","Chester County","Chester County","fifteenfortyseven","[""Carrier Neutral/Real Estate""]","[""Land Bank""]","2,000,000","0","150","0",,"East Whiteland Township","PA","19341","40.04170105","-75.58907378","150.0","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13266","Amazon: Kline Township","Amazon: Kline Township","Amazon","[""Hyperscale""]","[""Land Bank""]","0","0","0","350",,"Kline Township","PA","18237","40.87485719","-76.01513259","598.5","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13265","West Hazleton Data Center","West Hazleton Data Center","Unknown Operator","[""Carrier Neutral/Real Estate""]","[""Land Bank""]","600,000","0","0","0",,"West Hazleton","PA","18202","40.96435351","-76.01050793","36.7","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13264","Archbald I: Campus 2","Archbald I: Campus 2","Archbald 1","[""Carrier Neutral/Real Estate""]","[""Planned""]","600,000","0","0","66",,"Archbald","PA","18403","41.51707256","-75.56881178","62.1","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
"DC-13263","Archbald I: Campus I","Archbald I: Campus I","Archbald 1","[""Carrier Neutral/Real Estate""]","[""Planned""]","2,700,000","0","0","410",,"Archbald","PA","18403","41.51288029","-75.57302984","343.9","2/7/2026 7:26 PM","2/7/2026 7:26 PM"
